Athlete/Team,Country_Code,Year,Season,Sport,Event,Medal
Netherlands,NL,2024,Summer,3x3 Basketball,3x3 (M),gold
France,FR,2024,Summer,3x3 Basketball,3x3 (M),silver
Lithuania,LT,2024,Summer,3x3 Basketball,3x3 (M),bronze
Lim/Kim,KR,2024,Summer,Archery,Team (X),gold
Kroppen/Unruh,DE,2024,Summer,Archery,Team (X),silver
Kaufhold/Ellis.,US,2024,Summer,Archery,Team (X),bronze
China,CN,2024,Summer,Artistic Swimming,Team Synchronized Swimming,gold
USA,US,2024,Summer,Artistic Swimming,Team Synchronized Swimming,silver
Spain,ES,2024,Summer,Artistic Swimming,Team Synchronized Swimming,bronze
M.Russell,US,2024,Summer,Athletics,100m Hurdles (F),gold
C.Samba-Mayela,FR,2024,Summer,Athletics,100m Hurdles (F),silver
J.Quinn,PR,2024,Summer,Athletics,100m Hurdles (F),bronze
V.Axelsen,DK,2024,Summer,Badminton,Singles (M),gold
K.Vitidsarn,TH,2024,Summer,Badminton,Singles (M),silver
Z.Lee,MY,2024,Summer,Badminton,Singles (M),bronze
USA,US,2024,Summer,Basketball,Women,gold
France,FR,2024,Summer,Basketball,Women,silver
Australia,AU,2024,Summer,Basketball,Women,bronze
Eduar./Patrícia,BR,2024,Summer,Beach Volleyball,Women,gold
Humana/Wilkers.,CA,2024,Summer,Beach Volleyball,Women,silver
Brunner/Hüberli,CH,2024,Summer,Beach Volleyball,Women,bronze
J.Torres Gil,AR,2024,Summer,BMX Freestyle,Park (M),gold
K.Reilly,GB,2024,Summer,BMX Freestyle,Park (M),silver
A.Jeanjean,FR,2024,Summer,BMX Freestyle,Park (M),bronze
B.Jalolov,UZ,2024,Summer,Boxing,Over 91 kg (M),gold
A.Ghadfa Drissi,ES,2024,Summer,Boxing,Over 91 kg (M),silver
N.Tiafack,DE,2024,Summer,Boxing,Over 91 kg (M),bronze
D.Aboudou Moind,FR,2024,Summer,Boxing,Over 91 kg (M),bronze
P.Kim,CA,2024,Summer,Breaking,Breakdance (M),gold
D.Civil,FR,2024,Summer,Breaking,Breakdance (M),silver
V.Montalvo,US,2024,Summer,Breaking,Breakdance (M),bronze
N.Fox,AU,2024,Summer,Canoe Slalom,Slalom Extreme K-1 (F),gold
A.Hug,FR,2024,Summer,Canoe Slalom,Slalom Extreme K-1 (F),silver
K.Woods,GB,2024,Summer,Canoe Slalom,Slalom Extreme K-1 (F),bronze
Xu/Sun,CN,2024,Summer,Canoe Sprint,C-2 500m,gold
Luzan/Rybachok,UA,2024,Summer,Canoe Sprint,C-2 500m,silver
Vincent/Macken.,CA,2024,Summer,Canoe Sprint,C-2 500m,bronze
S.Sakakibara,AU,2024,Summer,Cycling BMX Racing,Women,gold
M.Veenstra,NL,2024,Summer,Cycling BMX Racing,Women,silver
Z.Claessens,CH,2024,Summer,Cycling BMX Racing,Women,bronze
R.Evenepoel,BE,2024,Summer,Cycling Road,Time Trial (M),gold
F.Ganna,IT,2024,Summer,Cycling Road,Time Trial (M),silver
W.van Aert,BE,2024,Summer,Cycling Road,Time Trial (M),bronze
J.Valente,US,2024,Summer,Cycling Track,Omnium (Cycling) (F),gold
D.Pikulik,PL,2024,Summer,Cycling Track,Omnium (Cycling) (F),silver
A.Wollaston,NZ,2024,Summer,Cycling Track,Omnium (Cycling) (F),bronze
Chang/Chen,CN,2024,Summer,Diving,Syn. 3m Springboard Diving (F),gold
Bacon/Cook,US,2024,Summer,Diving,Syn. 3m Springboard Diving (F),silver
Harper/Mew,GB,2024,Summer,Diving,Syn. 3m Springboard Diving (F),bronze
C. Kukuk,DE,2024,Summer,Equestrian,Show Jumping Individual,gold
S. Guerdat,CH,2024,Summer,Equestrian,Show Jumping Individual,silver
M. van der Vleu,NL,2024,Summer,Equestrian,Show Jumping Individual,bronze
L.Kiefer,US,2024,Summer,Fencing,Foil Singles (F),gold
L.Scruggs,US,2024,Summer,Fencing,Foil Singles (F),silver
E.Harvey,CA,2024,Summer,Fencing,Foil Singles (F),bronze
USA,US,2024,Summer,Football,Women,gold
Brazil,BR,2024,Summer,Football,Women,silver
Germany,DE,2024,Summer,Football,Women,bronze
L.Ko,NZ,2024,Summer,Golf,Women,gold
E.Henseleit,DE,2024,Summer,Golf,Women,silver
X.Lin,CN,2024,Summer,Golf,Women,bronze
C.Yulo,PH,2024,Summer,Gymnastics,Floor Exercise Gymnastics (M),gold
A.Dolgopyat,IL,2024,Summer,Gymnastics,Floor Exercise Gymnastics (M),silver
J.Jarman,GB,2024,Summer,Gymnastics,Floor Exercise Gymnastics (M),bronze
Norway,NO,2024,Summer,Handball,Women,gold
France,FR,2024,Summer,Handball,Women,silver
Denmark,DK,2024,Summer,Handball,Women,bronze
Netherlands,NL,2024,Summer,Hockey,Women,gold
China,CN,2024,Summer,Hockey,Women,silver
Argentina,AR,2024,Summer,Hockey,Women,bronze
N.Tsunoda,JP,2024,Summer,Judo,Up to 48 kg (F),gold
B.Bavuudorj,MN,2024,Summer,Judo,Up to 48 kg (F),silver
S.Boukli,FR,2024,Summer,Judo,Up to 48 kg (F),bronze
T.Babulfath,SE,2024,Summer,Judo,Up to 48 kg (F),bronze
K.Rasovszky,HU,2024,Summer,Marathon Swimming,10km Marathon Swimming (M),gold
O.Klemet,DE,2024,Summer,Marathon Swimming,10km Marathon Swimming (M),silver
D.Betlehem,HU,2024,Summer,Marathon Swimming,10km Marathon Swimming (M),bronze
M.Gulyas,HU,2024,Summer,Modern Pentathlon,Women,gold
E.Clouvel,FR,2024,Summer,Modern Pentathlon,Women,silver
S.Seong,KR,2024,Summer,Modern Pentathlon,Women,bronze
P.Ferrand Prevo,FR,2024,Summer,Mountain Biking,Women,gold
H.Batten,US,2024,Summer,Mountain Biking,Women,silver
J.Rissveds,SE,2024,Summer,Mountain Biking,Women,bronze
China,CN,2024,Summer,Rhyth. Gymnastics,Group Gymnastics,gold
Israel,IL,2024,Summer,Rhyth. Gymnastics,Group Gymnastics,silver
Italy,IT,2024,Summer,Rhyth. Gymnastics,Group Gymnastics,bronze
Francis/Spoors,NZ,2024,Summer,Rowing,Double Sculls (F),gold
Radiş/Bodnar,RO,2024,Summer,Rowing,Double Sculls (F),silver
H.-Byrne/Wilde,GB,2024,Summer,Rowing,Double Sculls (F),bronze
New Zealand,NZ,2024,Summer,Rugby Sevens,Women,gold
Canada,CA,2024,Summer,Rugby Sevens,Women,silver
USA,US,2024,Summer,Rugby Sevens,Women,bronze
M.Bouwmeester,NL,2024,Summer,Sailing,Laser Radial Sailing (F),gold
A.-M.Rindom,DK,2024,Summer,Sailing,Laser Radial Sailing (F),silver
L.Flem Hoest,NO,2024,Summer,Sailing,Laser Radial Sailing (F),bronze
L.Sheng,CN,2024,Summer,Shooting,Air Rifle 10m (M),gold
V.Lindgren,SE,2024,Summer,Shooting,Air Rifle 10m (M),silver
M.Maričić,HR,2024,Summer,Shooting,Air Rifle 10m (M),bronze
Y.Horigome,JP,2024,Summer,Skateboarding,Street (M),gold
J.Eaton,US,2024,Summer,Skateboarding,Street (M),silver
N.Huston,US,2024,Summer,Skateboarding,Street (M),bronze
A.Mirosław,PL,2024,Summer,Sport Climbing,Women,gold
L.Deng,CN,2024,Summer,Sport Climbing,Women,silver
A.Kalucka,PL,2024,Summer,Sport Climbing,Women,bronze
K.Vaast,FR,2024,Summer,Surfing,Surfing (M),gold
J.Robinson,AU,2024,Summer,Surfing,Surfing (M),silver
G.Medina,BR,2024,Summer,Surfing,Surfing (M),bronze
T.Huske,US,2024,Summer,Swimming,100m Butterfly Swimming (F),gold
G.Walsh,US,2024,Summer,Swimming,100m Butterfly Swimming (F),silver
Y.Zhang,CN,2024,Summer,Swimming,100m Butterfly Swimming (F),bronze
China,CN,2024,Summer,Table Tennis,Team Tennis (M),gold
Sweden,SE,2024,Summer,Table Tennis,Team Tennis (M),silver
France,FR,2024,Summer,Table Tennis,Team Tennis (M),bronze
T.Park,KR,2024,Summer,Taekwondo,Up to 58kg Weightlifting (M),gold
G.Magomedov,AZ,2024,Summer,Taekwondo,Up to 58kg Weightlifting (M),silver
C.Ravet,FR,2024,Summer,Taekwondo,Up to 58kg Weightlifting (M),bronze
M.Jendoubi,TN,2024,Summer,Taekwondo,Up to 58kg Weightlifting (M),bronze
Q. Zheng,CN,2024,Summer,Tennis,Singles Tennis (F),gold
D. Vekić,HR,2024,Summer,Tennis,Singles Tennis (F),silver
I. Świątek,PL,2024,Summer,Tennis,Singles Tennis (F),bronze
B.Page,GB,2024,Summer,Trampoline,Women,gold
V.Bardzilouskay,BY,2024,Summer,Trampoline,Women,silver
M.Sophiane,CA,2024,Summer,Trampoline,Women,bronze
C.Beaugrand,FR,2024,Summer,Triathlon,Women,gold
J.Derron,CH,2024,Summer,Triathlon,Women,silver
B.Potter,GB,2024,Summer,Triathlon,Women,bronze
Italy,IT,2024,Summer,Volleyball,Women,gold
USA,US,2024,Summer,Volleyball,Women,silver
Brazil,BR,2024,Summer,Volleyball,Women,bronze
Spain,ES,2024,Summer,Water Polo,Women,gold
Australia,AU,2024,Summer,Water Polo,Women,silver
Netherlands,NL,2024,Summer,Water Polo,Women,bronze
S.Luo,CN,2024,Summer,Weightlifting,Up to 59 kg (F),gold
M.Charron,CA,2024,Summer,Weightlifting,Up to 59 kg (F),silver
H.-C.Kuo,TW,2024,Summer,Weightlifting,Up to 59 kg (F),bronze
A.Elor,US,2024,Summer,Wrestling,Freestyle Up to 68kg (F),gold
M.Zhumanazarova,KG,2024,Summer,Wrestling,Freestyle Up to 68kg (F),silver
B.Cavusoglu Tos,TR,2024,Summer,Wrestling,Freestyle Up to 68kg (F),bronze
N.Ozaki,JP,2024,Summer,Wrestling,Freestyle Up to 68kg (F),bronze
