Sport,Event,Medal,Athlete,Country,Year,City,Season,NOC
Artistic Gymnastics,MEN’S TEAM,Silver,China,China,2024,Paris,Summer,CHN
Canoe Slalom,MEN’S TEAM,Silver,Adam Burgess,Great Britain,2024,Paris,Summer,GBR
Cycling Mountain Bike,MEN’S CANOE SINGLE,Silver,Victor Koretzky,France,2024,Paris,Summer,FRA
Diving,MEN’S CROSS-COUNTRY,Silver,Tom Daley and Noah Williams,Great Britain,2024,Paris,Summer,GBR
Equestrian,MEN’S SYNCHRONIZED 10M PLATFORM,Silver,France,France,2024,Paris,Summer,FRA
Fencing,EVENTING TEAM,Silver,Sara Balzer,France,2024,Paris,Summer,FRA
Fencing,MEN’S FOIL INDIVIDUAL,Silver,Filippo Macchi,Italy,2024,Paris,Summer,ITA
Judo,WOMEN’S SABER INDIVIDUAL,Silver,Mimi Huh,South Korea,2024,Paris,Summer,KOR
Judo,MEN’S 73KG,Silver,Joan-Benjamin Gaba,France,2024,Paris,Summer,FRA
Shooting,WOMEN’S 57KG,Silver,Huang Yuting,China,2024,Paris,Summer,CHN
Shooting,MEN’S 10M AIR RIFLE,Silver,Victor Lindgren,Sweden,2024,Paris,Summer,SWE
Skateboarding,WOMEN’S 10M AIR RIFLE,Silver,Jagger Eaton,United States,2024,Paris,Summer,USA
Swimming,WOMEN’S 100M BREASTSTROKE,Silver,Tang Qianting,China,2024,Paris,Summer,CHN
Swimming,WOMEN’S 200M FREESTYLE,Silver,Ariarne Titmus,Australia,2024,Paris,Summer,ANZ
Swimming,WOMEN’S 400M INDIVIDUAL MEDLEY,Silver,Katie Grimes,United States,2024,Paris,Summer,USA
Swimming,MEN’S 100M BACKSTROKE,Silver,Xu Jiayu,China,2024,Paris,Summer,CHN
Swimming,MEN’S 200M FREESTYLE,Silver,Matthew Richards,Great Britain,2024,Paris,Summer,GBR
Archery,WOMEN’S TEAM,Silver,China,China,2024,Paris,Summer,CHN
Canoe Slalom,WOMEN’S KAYAK SINGLE,Silver,Klaudia Zwolinska,Poland,2024,Paris,Summer,POL
Cycling Mountain Bike,WOMEN’S CROSS-COUNTRY,Silver,Haley Batten,United States,2024,Paris,Summer,USA
Fencing,WOMEN’S FOIL INDIVIDUAL,Silver,Lauren Scruggs,United States,2024,Paris,Summer,USA
Judo,WOMEN’S 52KG,Silver,Distria Krasniqi,Kosovo,2024,Paris,Summer,KOS
Judo,MEN’S 66KG,Silver,Willian Lima,Brazil,2024,Paris,Summer,BRA
Shooting,MEN’S 10M AIR PISTOL,Silver,Federico Nilo Maldini,Italy,2024,Paris,Summer,ITA
Swimming,MEN’S 400M INDIVIDUAL MEDLEY,Silver,Tomoyuki Matsushita,Japan,2024,Paris,Summer,JPN
Swimming,WOMEN’S 100M BUTTERFLY,Silver,Gretchen Walsh,United States,2024,Paris,Summer,USA
Shooting,WOMEN’S 10M AIR PISTOL,Silver,Kim Ye-ji,South Korea,2024,Paris,Summer,KOR
Skateboarding,WOMEN’S STREET,Silver,Liz Akama,Japan,2024,Paris,Summer,JPN
Cycling,MEN’S INDIVIDUAL TIME TRIAL,Silver,Filippo Ganna,Italy,2024,Paris,Summer,ITA
Cycling,WOMEN’S INDIVIDUAL TIME TRIAL,Silver,Anna Henderson,Great Britain,2024,Paris,Summer,GBR
Diving,WOMEN’S SYNCHRONIZED 3M SPRINGBOARD,Silver,Sarah Bacon and Kassidy Cook,United States,2024,Paris,Summer,USA
Fencing,WOMEN’S EPEE INDIVIDUAL,Silver,Auriane Mallo-Breton,France,2024,Paris,Summer,FRA
Fencing,MEN’S SABER INDIVIDUAL,Silver,Fares Ferjani,Tunisia,2024,Paris,Summer,TUN
Judo,WOMEN 48KG,Silver,Baasankhuu Bavuudori,Mongolia,2024,Paris,Summer,MGL
Judo,MEN 60KG,Silver,Luka Mkheidze,France,2024,Paris,Summer,FRA
Rugby Sevens,MEN’S,Silver,Fiji,Fiji,2024,Paris,Summer,FIJ
Shooting,10M AIR RIFLE MIXED TEAM,Silver,Keum Ji-hyeon and Park Ha-jun,South Korea,2024,Paris,Summer,KOR
Swimming,MEN’S 400M FREESTYLE,Silver,Elijah Winnington,Australia,2024,Paris,Summer,ANZ
Swimming,MEN’S 4X100M FREESTYLE RELAY,Silver,Australia,Australia,2024,Paris,Summer,ANZ
Swimming,WOMEN’S 400M FREESTYLE,Silver,Summer McIntosh,Canada,2024,Paris,Summer,CAN
Swimming,WOMEN’S 4X100M FREESTYLE RELAY,Silver,United States,United States,2024,Paris,Summer,USA
Athletics,WOMEN’S MARATHON,Bronze,Hellen Obiri,Kenya,2024,Paris,Summer,KEN
Basketball,WOMEN’S,Bronze,Australia,Australia,2024,Paris,Summer,ANZ
Cycling Track,MEN’S KEIRIN,Bronze,Matthew Glaetzer,Australia,2024,Paris,Summer,ANZ
Cycling Track,WOMEN’S SPRING,Bronze,Emma Finucane),Great Britain,2024,Paris,Summer,GBR
Cycling Track,WOMEN’S OMNIUM,Bronze,Ally Wollaston,New Zealand,2024,Paris,Summer,NZL
Handball,MEN’S,Bronze,Spain,Spain,2024,Paris,Summer,ESP
Modern Pentathlon,WOMEN’S INDIVIDUAL,Bronze,Seungmin Seong,South Korea,2024,Paris,Summer,KOR
Volleyball,WOMEN’S,Bronze,Brazil,Brazil,2024,Paris,Summer,BRA
Water Polo,MEN’S,Bronze,United States,United States,2024,Paris,Summer,USA
Weightlifting,WOMEN’S +81KG,Bronze,Emily Campbell),Great Britain,2024,Paris,Summer,GBR
Wrestling,WOMEN’S FREESTYLE 76KG,Bronze,Tatiana Rentereia and Cuba,Colombia,2024,Paris,Summer,COL
Wrestling,MEN’S FREESTYLE 65KG,Bronze,Islam Dudaev and Puerto Rico,Albania,2024,Paris,Summer,ALB
Wrestling,MEN’S FREESTYLE 97KG,Bronze,Magomedkhan Magomedov and Iran,Azerbaijan,2024,Paris,Summer,AZE
Artistic Swimming,DUET,Bronze,Bregje de Brouwer and Noortje de Brouwer,Netherlands,2024,Paris,Summer,NED
Basketball,MEN,Bronze,Serbia,Serbia,2024,Paris,Summer,SCG
Beach Volleyball,MEN,Bronze,Anders Mol and Christian Sorum,Norway,2024,Paris,Summer,NOR
Breaking,B-BOYS,Bronze,Victor (Victor Montalvo),United States,2024,Paris,Summer,USA
Canoe Sprint,MEN’S 1000M SINGLE KAYAK,Bronze,Balint Kopasz,Hungary,2024,Paris,Summer,HUN
Canoe Sprint,WOMEN’S 500M SINGLE KAYAK,Bronze,Emma Jørgensen,Denmark,2024,Paris,Summer,DEN
Canoe Sprint,WOMEN’S 200M SINGLE KAYAK,Bronze,Yarisleidis Cirilo,Cuba,2024,Paris,Summer,CUB
Cycling Track,MEN’S MADISON,Bronze,Niklas Larsen and Michael Mørkøv,Denmark,2024,Paris,Summer,DEN
Diving,MEN’S 10M PLATFORM,Bronze,Noah Williams,Great Britain,2024,Paris,Summer,GBR
Golf,WOMEN’S INDIVIDUAL,Bronze,Lin Xiyu,China,2024,Paris,Summer,CHN
Handball,WOMEN,Bronze,Denmark,Denmark,2024,Paris,Summer,DEN
Modern Pentathlon,MEN’S,Bronze,Giorgio Malan,Italy,2024,Paris,Summer,ITA
Rhythmic Gymnastics,GROUP ALL-AROUND,Bronze,Italy,Italy,2024,Paris,Summer,ITA
Soccer,WOMEN’S,Bronze,Germany,Germany,2024,Paris,Summer,FRG
Sport Climbing,WOMEN’S BOULDER & LEAD,Bronze,Jessica Pilz,Austria,2024,Paris,Summer,AUT
Table Tennis,WOMEN’S TEAM,Bronze,South Korea,South Korea,2024,Paris,Summer,KOR
Track And Field,MEN’S MARATHON,Bronze,Benson Kipruto,Kenya,2024,Paris,Summer,KEN
Track And Field,MEN’S 800M,Bronze,Djamel Sedjati,Algeria,2024,Paris,Summer,ALG
Track And Field,MEN’S 5000M,Bronze,Grant Fisher,United States,2024,Paris,Summer,USA
Track And Field,MEN’S HIGH JUMP,Bronze,Mutaz Barshim,Qatar,2024,Paris,Summer,QAT
Track And Field,MEN’S 4X400M RELAY,Bronze,Britain,Great Britain,2024,Paris,Summer,GBR
Track And Field,WOMEN’S 4X400M RELAY,Bronze,Britain,Great Britain,2024,Paris,Summer,GBR
Track And Field,WOMEN’S 1500M,Bronze,Georgia Bell,Great Britain,2024,Paris,Summer,GBR
Track And Field,WOMEN’S JAVELIN THROW,Bronze,Nikola Ogrodnikova,Czech Republic,2024,Paris,Summer,BOH
Track And Field,WOMEN’S 100M HURDLES,Bronze,Jasmine Camacho-Quinn,Puerto Rico,2024,Paris,Summer,PUR
Volleyball,MEN’S TEAM,Bronze,United States,United States,2024,Paris,Summer,USA
Water Polo,WOMEN’S,Bronze,Netherlands,Netherlands,2024,Paris,Summer,NED
Weightlifting,MEN’S 102KG,Bronze,Yauheni Tsikhantsou,Belarus,2024,Paris,Summer,BLR
Weightlifting,MEN’S 102KG,Bronze,Gor Minasyan,Bahrain,2024,Paris,Summer,BRN
Weightlifting,WOMEN’S 81KG,Bronze,Neisi Dajomes,Ecuador,2024,Paris,Summer,ECU
Track And Field,MEN’S 400M HURDLES,Bronze,Alison dos Santos,Brazil,2024,Paris,Summer,BRA
Track And Field,MEN’S TRIPLE JUMP,Bronze,Andy Diaz Hernandez,Italy,2024,Paris,Summer,ITA
Track And Field,MEN’S 4X100M RELAY,Bronze,Britain,Great Britain,2024,Paris,Summer,GBR
Track And Field,WOMEN’S 4X100M RELAY,Bronze,Germany,Germany,2024,Paris,Summer,FRG
Track And Field,WOMEN’S SHUT PUT,Bronze,Song Jiayuan,China,2024,Paris,Summer,CHN
Track And Field,"WOMEN’S 10,000M",Bronze,Sifan Hassan,Netherlands,2024,Paris,Summer,NED
Track And Field,WOMEN’S 400M,Bronze,Natalia Kaczmarek,Poland,2024,Paris,Summer,POL
Track And Field,WOMEN’S 4X100M RELAY,Bronze,Germany,Germany,2024,Paris,Summer,FRG
Beach Volleyball,WOMEN’S,Bronze,Switzerland,Switzerland,2024,Paris,Summer,SUI
Breaking,B-GIRLS,Bronze,671 (Liu Qingyi),China,2024,Paris,Summer,CHN
Canoe Sprint,MEN’S KAYAK DOUBLE 500M,Bronze,Tom Green and Jean van der Westhuyzen,Australia,2024,Paris,Summer,ANZ
Canoe Sprint,MEN’S CANOE SINGLE 1000M,Bronze,Serghei Tarnovschi,Moldova,2024,Paris,Summer,MDA
Canoe Sprint,WOMEN’S KAYAK DOUBLE 500M,Bronze,Jule Marie Hake and Paulina Paszek,Germany,2024,Paris,Summer,FRG
Canoe Sprint,WOMEN’S CANOE DOUBLE 500M,Bronze,Sloan MacKenzie and Katie Vincent,Canada,2024,Paris,Summer,CAN
Cycling Track,MEN’S SPRINT,Bronze,Jack Carlin,Great Britain,2024,Paris,Summer,GBR
Cycling Track,WOMEN’S MADISON,Bronze,Lisa van Belle and Maike van der Duin,Netherlands,2024,Paris,Summer,NED
Diving,WOMEN’S 3M SPRINGBOARD,Bronze,Chang Yani,China,2024,Paris,Summer,CHN
Field Hockey,WOMEN’S,Bronze,Argentina,Argentina,2024,Paris,Summer,ARG
Marathon Swimming,MEN’S 10KM,Bronze,David Betlehem,Hungary,2024,Paris,Summer,HUN
Rhythmic Gymnastics,INDIVIDUAL ALL-AROUND,Bronze,Sofia Raffaeli,Italy,2024,Paris,Summer,ITA
Sailing,MEN’S KITE,Bronze,Max Maeder,Singapore,2024,Paris,Summer,SIN
Soccer,MEN,Bronze,Morocco,Morocco,2024,Paris,Summer,MAR
Sport Climbing,MEN’S BOULDER & LEAD,Bronze,Jacob Schubert,Austria,2024,Paris,Summer,AUT
Table Tennis,MEN’S TEAM,Bronze,France,France,2024,Paris,Summer,FRA
Weightlifting,WOMEN’S 71KG,Bronze,Angie Dajomes,Ecuador,2024,Paris,Summer,ECU
Weightlifting,MEN’S 89KG,Bronze,Antonino Pizzolato,Italy,2024,Paris,Summer,ITA
Wrestling,WOMEN’S FREESTYLE 57KG,Bronze,Helen Maroulis,United States,2024,Paris,Summer,USA
Track And Field,MEN’S 200M,Bronze,Noah Lyles,United States,2024,Paris,Summer,USA
Track And Field,MEN’S 110M HURDLES,Bronze,Rasheed Broadbell,Jamaica,2024,Paris,Summer,JAM
Track And Field,MEN’S JAVELIN THROW,Bronze,Anderson Peters,Grenada,2024,Paris,Summer,GRN
Track And Field,WOMEN’S 400M HURDLES,Bronze,Femke Bol,Netherlands,2024,Paris,Summer,NED
Track And Field,WOMEN’S LONG JUMP,Bronze,Jasmine Moore,United States,2024,Paris,Summer,USA
Cycling,MEN’S OMNIUM,Bronze,Fabio van den Bossche,Belgium,2024,Paris,Summer,BEL
Cycling,WOMEN’S KEIRIN,Bronze,Emma Finucane,Great Britain,2024,Paris,Summer,GBR
Canoe Slalom,MEN’S CANOE DOUBLE 500M,Bronze,Joan Antoni Moreno and Diego Dominguez,Spain,2024,Paris,Summer,ESP
Canoe Slalom,WOMEN’S KAYAK FOUR 500M,Bronze,Hungary,Hungary,2024,Paris,Summer,HUN
Canoe Slalom,MEN’S KAYAK FOUR 500M,Bronze,Spain,Spain,2024,Paris,Summer,ESP
Field Hockey,MEN’S,Bronze,India,India,2024,Paris,Summer,IND
Marathon Swimming,WOMEN’S 10KM,Bronze,Ginevra Taddeucci,Italy,2024,Paris,Summer,ITA
Sports Climbing,MEN’S SPEED,Bronze,Sam Watson,United States,2024,Paris,Summer,USA
Diving,MEN’S 3M SPRINGBOARD,Bronze,Osmar Olvera Ibarra,Mexico,2024,Paris,Summer,MEX
Sailing,MIXED DINGHY,Bronze,Anton Dahlberg and Lovisa Karlsson,Sweden,2024,Paris,Summer,SWE
Sailing,MIXED MULTIHULL,Bronze,Micah Wilkinson and Erica Dawson,New Zealand,2024,Paris,Summer,NZL
Sailing,WOMEN’S KITE,Bronze,Annelous Lammerts,Netherlands,2024,Paris,Summer,NED
Weightlifting,WOMEN’S 59KG,Bronze,Kuo Hsing-chun,Taiwan,2024,Paris,Summer,TPE
Wrestling,MEN’S GRECO-ROMAN 67KG,Bronze,Hasrat Jafarov,Azerbaijan,2024,Paris,Summer,AZE
Wrestling,MEN’S GRECO-ROMAN 87KG,Bronze,Zhan Beleniuk,Ukraine,2024,Paris,Summer,UKR
Wrestling,WOMEN’S FREESTYLE 53KG,Bronze,Choe Hyo Gyong,North Korea,2024,Paris,Summer,PRK
Artistic Swimming,TEAM,Bronze,Spain,Spain,2024,Paris,Summer,ESP
Boxing,MEN’S 63.5KG,Bronze,No medal awarded,No medal awarded,2024,Paris,Summer,
Boxing,MEN’S 80KG,Bronze,No medal awarded,No medal awarded,2024,Paris,Summer,
Climbing,WOMEN’S SPEED,Bronze,Aleksandra Kalucka,Poland,2024,Paris,Summer,POL
Cycling,CYCLING MEN’S TEAM PURSUIT,Bronze,"Simone Consonni, Filippo Ganna, Francesco Lamon, Jonathan Milan)",Italy,2024,Paris,Summer,ITA
Cycling,CYCLING WOMEN’S TEAM PURSUIT,Bronze,"Elinor Barker, Josie Knight, Anna Morris, Jessica Roberts)",Great Britain,2024,Paris,Summer,GBR
Sailing,MEN’S DINGHY,Bronze,Stefano Peschiera,Peru,2024,Paris,Summer,PER
Sailing,WOMEN’S DINGHY,Bronze,Line Flem Hoest,Norway,2024,Paris,Summer,NOR
Skateboarding,MEN’S PARK,Bronze,Augusto Akio,Brazil,2024,Paris,Summer,BRA
Taekwondo,MEN 58KG,Bronze,Cyrian Ravet,France,2024,Paris,Summer,FRA
Taekwondo,WOMEN’S 49KG,Bronze,Lena Stojkovic,Croatia,2024,Paris,Summer,CRO
Track And Field,MEN’S 400M,Bronze,Muzala Samukonga,Zambia,2024,Paris,Summer,ZAM
Track And Field,"MEN’S 3,000M STEEPLECHASE",Bronze,Abraham Kibiwot,Kenya,2024,Paris,Summer,KEN
Track And Field,MEN’S DISCUS THROW,Bronze,Matthew Denny,Australia,2024,Paris,Summer,ANZ
Track And Field,WOMEN’S POLE VAULT,Bronze,Alysha Newman,Canada,2024,Paris,Summer,CAN
Track And Field,MARATHON RACE WALK MIXED RELAY,Bronze,Australia,Australia,2024,Paris,Summer,ANZ
Weightlifting,MEN’S 61KG,Bronze,Hampton Morris,United States,2024,Paris,Summer,USA
Weightlifting,WOMEN’S 49KG,Bronze,Surodchana Khambao,Thailand,2024,Paris,Summer,THA
Wrestling,MEN’S GRECO-ROMAN 77KG,Bronze,Malkhas Amoyan,Armenia,2024,Paris,Summer,ARM
Wrestling,MEN’S GRECO-ROMAN 97KG,Bronze,Gabriel Alejandro Rosillo Kindelan,Cuba,2024,Paris,Summer,CUB
Wrestling,WOMEN’S FREESTYLE 50KG,Bronze,Yui Susaki,Japan,2024,Paris,Summer,JPN
Boxing,WOMEN’S 60KG,Bronze,Beatriz Iasmin Soares Ferreira,Brazil,2024,Paris,Summer,BRA
Cycling Track,MEN’S TEAM SPRINT,Bronze,Australia,Australia,2024,Paris,Summer,ANZ
Diving,WOMEN’S 10M PLATFORM,Bronze,Kim Mi Rae,North Korea,2024,Paris,Summer,PRK
Equestrian,INDIVIDUAL JUMPING,Bronze,Maikel van der Vleuten,Netherlands,2024,Paris,Summer,NED
Skateboarding,WOMEN’S PARK,Bronze,Sky Brown,Great Britain,2024,Paris,Summer,GBR
Track And Field,WOMEN’S 200M,Bronze,Brittany Brown,United States,2024,Paris,Summer,USA
Track And Field,"WOMEN’S 3,000M STEEPLECHASE",Bronze,Faith Cherotich,Kenya,2024,Paris,Summer,KEN
Track And Field,WOMEN’S HAMMER THROW,Bronze,Zhao Jie,China,2024,Paris,Summer,CHN
Track And Field,"MEN’S 1,500M",Bronze,Yared Nuguse,United States,2024,Paris,Summer,USA
Track And Field,MEN’S LONG JUMP,Bronze,Mattia Furlani,Italy,2024,Paris,Summer,ITA
Wrestling,MEN’S GRECO-ROMAN 130KG,Bronze,Lingzhe Meng,China,2024,Paris,Summer,CHN
Wrestling,MEN’S GRECO-ROMAN 60KG,Bronze,Ri Se Ung,North Korea,2024,Paris,Summer,PRK
Wrestling,WOMEN’S FREESTYLE 68KG,Bronze,Buse Cavusoglu Tosun,Turkey,2024,Paris,Summer,TUR
3X3 Basketball,MEN’S 3X3 BASKETBALL,Bronze,Lithuania,Lithuania,2024,Paris,Summer,LTU
3X3 Basketball,WOMEN’S 3X3 BASKETBALL,Bronze,United States,United States,2024,Paris,Summer,USA
Badminton,MEN’S SINGLES,Bronze,Lee Zii Jia,Malaysia,2024,Paris,Summer,MAL
Badminton,WOMEN’S SINGLES,Bronze,Gregoria Mariska Tunjung,Indonesia,2024,Paris,Summer,INA
Canoe Slalom,MEN’S KAYAK CROSS,Bronze,Noah Hegge,Germany,2024,Paris,Summer,FRG
Canoe Slalom,WOMEN’S KAYAK CROSS,Bronze,Kimberley Woods,Great Britain,2024,Paris,Summer,GBR
Cycling Track,WOMEN’S TEAM SPRINT,Bronze,Germany,Germany,2024,Paris,Summer,FRG
Gymnastics,MEN’S PARALLEL BARS,Bronze,Shinnosuke Oka,Japan,2024,Paris,Summer,JPN
Gymnastics,WOMEN’S BALANCE BEAM,Bronze,Manila Esposito,Italy,2024,Paris,Summer,ITA
Gymnastics,WOMEN’S FLOOR EXERCISE,Bronze,Ana Barbosu,Romania,2024,Paris,Summer,ROU
Shooting,MEN’S 25M RAPID FIRE PISTOL,Bronze,Wang Xinjie,China,2024,Paris,Summer,CHN
Shooting,MIXED TEAM SKEET,Bronze,Jiang Yiting and Lyu Jianlin,China,2024,Paris,Summer,CHN
Surfing,MEN,Bronze,Gabriel Medina,Brazil,2024,Paris,Summer,BRA
Surfing,WOMEN,Bronze,Johanne Defay,France,2024,Paris,Summer,FRA
Track And Field,MEN’S POLE VAULT,Bronze,Emmanouil Karalis,Greece,2024,Paris,Summer,CRT
Track And Field,WOMEN’S 800M,Bronze,Mary Moraa,Kenya,2024,Paris,Summer,KEN
Track And Field,WOMEN’S 5000M,Bronze,Sifan Hassan,Netherlands,2024,Paris,Summer,NED
Track And Field,WOMEN’S DISCUS THROW,Bronze,Sandra Elkasevic,Croatia,2024,Paris,Summer,CRO
Triathlon,MIXED RELAY,Bronze,Britain,Great Britain,2024,Paris,Summer,GBR
Archery,MEN’S INDIVIDUAL,Bronze,Lee Woo-seok,South Korea,2024,Paris,Summer,KOR
Artistic Gymnastics,MEN’S RINGS,Bronze,Eleftherios Petrounias,Greece,2024,Paris,Summer,CRT
Artistic Gymnastics,MEN’S VAULT,Bronze,Harry Hepworth,Great Britain,2024,Paris,Summer,GBR
Artistic Gymnastics,WOMEN’S UNEVEN BARS,Bronze,Sunisa Lee,United States,2024,Paris,Summer,USA
Badminton,MEN’S DOUBLES,Bronze,Aaron Chia and Soh Wooi Yik,Malaysia,2024,Paris,Summer,MAL
Cycling,WOMEN’S ROAD RACE,Bronze,Lotte Kopecky,Belgium,2024,Paris,Summer,BEL
Equestrian,DRESSAGE INDIVIDUAL,Bronze,Charlotte Fry,Great Britain,2024,Paris,Summer,GBR
Fencing,MEN’S FOIL TEAM,Bronze,France,France,2024,Paris,Summer,FRA
Golf,MEN’S INDIVIDUAL,Bronze,Hideki Matsuyama,Japan,2024,Paris,Summer,JPN
Shooting,WOMEN’S SKEET,Bronze,Austen Smith,United States,2024,Paris,Summer,USA
Swimming,WOMEN’S 50M FREESTYLE,Bronze,Zhang Yufei,China,2024,Paris,Summer,CHN
