Sport,Event,Medal,Athlete,Country,Year,City,Season,NOC
Swimming,WOMEN’S 4x100M MEDLEY RELAY,Bronze,China,China,2024,Paris,Summer,CHN
Swimming,MEN’S 1500M FREESTYLE,Bronze,Daniel Wiffen,Ireland,2024,Paris,Summer,IRL
Swimming,MEN’S 4x100M MEDLEY RELAY,Bronze,France,France,2024,Paris,Summer,FRA
Table Tennis,MEN’S SINGLES,Bronze,Félix Lebrun,France,2024,Paris,Summer,FRA
Tennis,MEN’S SINGLES,Bronze,Lorenzo Musetti,Italy,2024,Paris,Summer,ITA
Tennis,WOMEN’S DOUBLES,Bronze,Cristina Busca and Sara Sorribes Tormo,Spain,2024,Paris,Summer,ESP
Track And Field,MEN’S 100M,Bronze,Fred Kerley,United States,2024,Paris,Summer,USA
Track And Field,MEN’S HAMMER THROW,Bronze,Mykhaylo Kokhan,Ukraine,2024,Paris,Summer,UKR
Archery,WOMEN’S INDIVIDUAL,Bronze,Lisa Barbelin,France,2024,Paris,Summer,FRA
Artistic Gymnastics,MEN’S FLOOR EXERCISE,Bronze,Jake Jarman,Great Britain,2024,Paris,Summer,GBR
Artistic Gymnastics,MEN’S POMMEL HORSE,Bronze,Stephen Nedoroscik,United States,2024,Paris,Summer,USA
Artistic Gymnastics,WOMEN’S VAULT,Bronze,Jade Carey,United States,2024,Paris,Summer,USA
Badminton,WOMEN’S DOUBLES,Bronze,Nami Matsuyama and Chiharu Shida,Japan,2024,Paris,Summer,JPN
Cycling,MEN’S ROAD RACE,Bronze,Christophe Laporte,France,2024,Paris,Summer,FRA
Equestrian,DRESSAGE TEAM,Bronze,Britain,Great Britain,2024,Paris,Summer,GBR
Fencing,WOMEN’S TEAM SABER,Bronze,Japan,Japan,2024,Paris,Summer,JPN
Judo,MIXED TEAM,Bronze,Brazil and South Korea,Brazil and South Korea,2024,Paris,Summer,
Rowing,MEN’S EIGHT,Bronze,United States,United States,2024,Paris,Summer,USA
Rowing,WOMEN’S EIGHT,Bronze,Britain,Great Britain,2024,Paris,Summer,GBR
Rowing,MEN’S SINGLE SCULLS,Bronze,Simon van Dorp,Netherlands,2024,Paris,Summer,NED
Rowing,WOMEN’S SINGLE SCULLS,Bronze,Viktorija Senkute,Lithuania,2024,Paris,Summer,LTU
Sailing,MEN’S WINDSURFING,Bronze,Luuc van Opzeeland,Netherlands,2024,Paris,Summer,NED
Sailing,WOMEN’S WINDSURFING,Bronze,Emma Wilson,Great Britain,2024,Paris,Summer,GBR
Shooting,WOMEN’S 25M PISTOL,Bronze,Veronika Major,Hungary,2024,Paris,Summer,HUN
Shooting,MEN’S SKEET,Bronze,Lee Meng-yuan,Taiwan,2024,Paris,Summer,TPE
Swimming,MEN’S 100M BUTTERFLY,Bronze,Ilya Kharun,Canada,2024,Paris,Summer,CAN
Swimming,MIXED 4X100 MEDLEY RELAY,Bronze,Australia,Australia,2024,Paris,Summer,ANZ
Swimming,WOMEN’S 200M INDIVIDUAL MEDLEY,Bronze,Kaylee McKeown,Australia,2024,Paris,Summer,ANZ
Swimming,WOMEN’S 800M FREESTYLE,Bronze,Paige Madden,United States,2024,Paris,Summer,USA
Table Tennis,WOMEN’S SINGLES,Bronze,Hina Hayata,Japan,2024,Paris,Summer,JPN
Tennis,MEN’S DOUBLES,Bronze,Taylor Fritz and Tommy Paul,United States,2024,Paris,Summer,USA
Tennis,WOMEN’S SINGLES,Bronze,Iga Swiatek,Poland,2024,Paris,Summer,POL
Track And Field,MEN’S SHOTPUT,Bronze,Rajindra Campbell,Jamaica,2024,Paris,Summer,JAM
Track And Field,MIXED 4X400M RELAY,Bronze,Britain,Great Britain,2024,Paris,Summer,GBR
Track And Field,WOMEN’S 100M,Bronze,Melissa Jefferson,United States,2024,Paris,Summer,USA
Track And Field,WOMEN’S TRIPLE JUMP,Bronze,Jasmine Moore,United States,2024,Paris,Summer,USA
Archery,MIXED TEAM,Bronze,Brady Ellison and Casey Kaufhold,United States,2024,Paris,Summer,USA
Badminton,MIXED DOUBLES,Bronze,Yuta Watanabe and Arisa Higashino,Japan,2024,Paris,Summer,JPN
Diving,MEN’S SYNCHRONIZED 3M SPRINGBOARD,Bronze,Anthony Harding and Jack Laugher,Great Britain,2024,Paris,Summer,GBR
Cycling Bmx Racing,MEN’S,Bronze,Romain Mahieu,France,2024,Paris,Summer,FRA
Cycling Bmx Racing,WOMEN’S,Bronze,Zoe Claessens,Switzerland,2024,Paris,Summer,SUI
Equestrian,TEAM JUMPING,Bronze,France,France,2024,Paris,Summer,FRA
Fencing,MEN’S TEAM ÉPÉE,Bronze,Czech Republic,Czech Republic,2024,Paris,Summer,BOH
Rowing,MEN’S PAIR,Bronze,Andrin Gulich and Roman Roeoesli,Switzerland,2024,Paris,Summer,SUI
Rowing,MEN’S LIGHTWEIGHT DOUBLE SCULLS,Bronze,Petros Gaidatzis and Antonios Papakonstantinou,Greece,2024,Paris,Summer,CRT
Rowing,WOMEN’S PAIR,Bronze,Annabelle McIntyre and Jess Morrison,Australia,2024,Paris,Summer,ANZ
Rowing,WOMEN’S LIGHTWEIGHT DOUBLE SCULLS,Bronze,Zoi Fitsiou and Dimitra Kontou,Greece,2024,Paris,Summer,CRT
Sailing,MEN’S SKIFF,Bronze,Ian Barrows and Hanks Henken,United States,2024,Paris,Summer,USA
Sailing,WOMEN’S SKIFF,Bronze,Charline Picon and Sarah Steyaert,France,2024,Paris,Summer,FRA
Shooting,WOMEN’S 50M RIFLE 3 POSITIONS,Bronze,Zhang Qiongyue,China,2024,Paris,Summer,CHN
Swimming,MEN’S 200M INDIVIDUAL MEDLEY,Bronze,Wang Shun,China,2024,Paris,Summer,CHN
Swimming,MEN’S 50M FREESTYLE,Bronze,Florent Manaudou,France,2024,Paris,Summer,FRA
Swimming,WOMEN’S 200 BACKSTROKE,Bronze,Kylie Masse,Canada,2024,Paris,Summer,CAN
Tennis,MIXED DOUBLES,Bronze,Gabriela Dabrowski and Felix Auger Aliassime,Canada,2024,Paris,Summer,CAN
Track And Field,"MEN’S 10,000M",Bronze,Grant Fisher,United States,2024,Paris,Summer,USA
Trampoline,MEN’S ,Bronze,Yan Langyu,China,2024,Paris,Summer,CHN
Trampoline,WOMEN’S,Bronze,Sophiane Methot,Canada,2024,Paris,Summer,CAN
Canoe Slalom,MEN’S SINGLE KAYAK,Bronze,Pau Echaniz,Spain,2024,Paris,Summer,ESP
Fencing,WOMEN’S TEAM FOIL,Bronze,Japan,Japan,2024,Paris,Summer,JPN
Gymnastics,WOMEN’S ALL-AROUND,Bronze,Sunisa Lee,United States,2024,Paris,Summer,USA
Rowing,MEN’S DOUBLE SCULLS,Bronze,Philip Doyle and Daire Lynch,Ireland,2024,Paris,Summer,IRL
Rowing,WOMEN’S DOUBLE SCULLS,Bronze,Mathilda Hodgkins Byrne and Rebecca Wilde,Great Britain,2024,Paris,Summer,GBR
Rowing,MEN’S FOUR,Bronze,Britain,Great Britain,2024,Paris,Summer,GBR
Rowing,WOMEN’S FOUR,Bronze,New Zealand,New Zealand,2024,Paris,Summer,NZL
Shooting,MEN’S 50M RIFLE 3 POSITIONS,Bronze,Swapnil Kusale,India,2024,Paris,Summer,IND
Swimming,MEN’S 200M BACKSTROKE,Bronze,Roman Mityukov,Switzerland,2024,Paris,Summer,SUI
Swimming,WOMEN’S 200M BUTTERFLY,Bronze,Zhang Yufei,China,2024,Paris,Summer,CHN
Swimming,WOMEN’S 200M BREASTSTROKE,Bronze,Tes Schouten,Netherlands,2024,Paris,Summer,NED
Swimming,WOMENS 4X200 FREESTYLE RELAY,Bronze,China,China,2024,Paris,Summer,CHN
Track And Field,MEN’S 20KM RACE WALK,Bronze,Álvaro Martín,Spain,2024,Paris,Summer,ESP
Track And Field,WOMEN’S 20KM RACE WALK,Bronze,Jemima Montag,Australia,2024,Paris,Summer,ANZ
Gymnastics,MEN’S ALL AROUND,Bronze,Xiao Ruoteng,China,2024,Paris,Summer,CHN
Canoe,WOMEN’S SINGLE,Bronze,Evy Leibfarth,United States,2024,Paris,Summer,USA
Cycling,WOMEN’S PARK,Bronze,Natalya Diehm,Australia,2024,Paris,Summer,ANZ
Cycling,MEN’S PARK,Bronze,Anthony Jean Jean,France,2024,Paris,Summer,FRA
Diving,WOMEN’S SYNCHRONIZED 10-METER PLATFORM,Bronze,Andrea Spendolini Sirieix and Lois Toulson,Great Britain,2024,Paris,Summer,GBR
Fencing,MEN’S SABRE TEAM,Bronze,France,France,2024,Paris,Summer,FRA
Judo,WOMEN’S 70KG,Bronze,Michaela Polleres,Austria,2024,Paris,Summer,AUT
Judo,MEN’S 90KG,Bronze,Maxime-Gael Ngayap Hambou,France,2024,Paris,Summer,FRA
Rowing,MEN’S QUADRUPLE SCULLS,Bronze,"Dominik Czaja, Mateusz Biskup, Miroslaw Zietarski, Fabian Baranski)",Poland,2024,Paris,Summer,POL
Rowing,WOMEN’S QUADRUPLE SCULLS,Bronze,"Maren Voelz, Tabea Schendekehl, Leonie Menzel, Pia Greiten)",Germany,2024,Paris,Summer,FRG
Swimming,WOMEN’S 100M FREESTYLE,Bronze,Siobhan Haughey,Hong Kong,2024,Paris,Summer,HKG
Swimming,"WOMEN’S 1,500M FREESTYLE",Bronze,Isabel Gose,Germany,2024,Paris,Summer,FRG
Swimming,MEN’S 100M FREESTYLE,Bronze,David Popovici,Romania,2024,Paris,Summer,ROU
Swimming,MEN’S 200M BREASTSTROKE,Bronze,Caspar Corbeau,Netherlands,2024,Paris,Summer,NED
Swimming,MEN’S 200M BUTTERFLY,Bronze,Ilya Kharun,Canada,2024,Paris,Summer,CAN
Shooting,WOMEN’S TRAP,Bronze,Penny Smith,Australia,2024,Paris,Summer,ANZ
Triathlon,WOMEN,Bronze,Beth Potter,Great Britain,2024,Paris,Summer,GBR
Triathlon,MEN,Bronze,Leo Bergere,France,2024,Paris,Summer,FRA
Fencing,WOMEN’S EPEE TEAM,Bronze,Poland,Poland,2024,Paris,Summer,POL
Gymnastics,WOMEN’S TEAM,Bronze,Brazil,Brazil,2024,Paris,Summer,BRA
Rugby Sevens,WOMEN’S,Bronze,United States,United States,2024,Paris,Summer,USA
Shooting,MIXED TEAM 10M AIR PISTOL,Bronze,Manu Bhaker and Sarabjot Singh,India,2024,Paris,Summer,IND
Shooting,MEN’S TRAP,Bronze,Jean Pierre Brol,Guatemala,2024,Paris,Summer,GUA
Swimming,WOMEN’S 100M BACKSTROKE,Bronze,Katharine Berkoff,United States,2024,Paris,Summer,USA
Swimming,MEN’S 800M FREESTYLE,Bronze,Gregorio Paltrinieri,Italy,2024,Paris,Summer,ITA
Swimming,MEN’S 4X200M FREESTYLE RELAY,Bronze,Australia,Australia,2024,Paris,Summer,ANZ
Table Tennis,MEN’S 4x200M FREESTYLE RELAY,Bronze,Lim Jong-hoon and Shin Yu-bin,South Korea,2024,Paris,Summer,KOR
Archery,MIXED DOUBLES,Bronze,Turkey,Turkey,2024,Paris,Summer,TUR
Artistic Gymnastics,MEN’S TEAM,Bronze,United States,United States,2024,Paris,Summer,USA
Canoe Slalom,MEN’S TEAM,Bronze,Matej Benus,Slovakia,2024,Paris,Summer,SVK
Cycling Mountain Bike,MEN’S CANOE SINGLE,Bronze,Alan Hatherly,South Africa,2024,Paris,Summer,RSA
Diving,MEN’S CROSS-COUNTRY,Bronze,Rylan Wiens and Nathan Zsombor-Murray,Canada,2024,Paris,Summer,CAN
Equestrian,MEN’S SYNCHRONIZED 10M PLATFORM,Bronze,Japan,Japan,2024,Paris,Summer,JPN
Fencing,EVENTING TEAM,Bronze,Olga Kharlan,Ukraine,2024,Paris,Summer,UKR
Fencing,MEN’S FOIL INDIVIDUAL,Bronze,Nick Itkin,United States,2024,Paris,Summer,USA
Shooting,WOMEN’S 57KG,Bronze,Audrey Gogniat,Switzerland,2024,Paris,Summer,SUI
Shooting,MEN’S 10M AIR RIFLE,Bronze,Miran Maricic,Croatia,2024,Paris,Summer,CRO
Skateboarding,WOMEN’S 10M AIR RIFLE,Bronze,Nyjah Huston,United States,2024,Paris,Summer,USA
Swimming,WOMEN’S 100M BREASTSTROKE,Bronze,Mona McSharry,Ireland,2024,Paris,Summer,IRL
Swimming,WOMEN’S 200M FREESTYLE,Bronze,Siobhan Bernadette Haughey,Hong Kong,2024,Paris,Summer,HKG
Swimming,WOMEN’S 400M INDIVIDUAL MEDLEY,Bronze,Emma Weyant,United States,2024,Paris,Summer,USA
Swimming,MEN’S 100M BACKSTROKE,Bronze,Ryan Murphy,United States,2024,Paris,Summer,USA
Swimming,MEN’S 200M FREESTYLE,Bronze,Luke Hobson,United States,2024,Paris,Summer,USA
Archery,WOMEN’S TEAM,Bronze,Mexico,Mexico,2024,Paris,Summer,MEX
Canoe Slalom,WOMEN’S KAYAK SINGLE,Bronze,Kimberley Woods,Great Britain,2024,Paris,Summer,GBR
Cycling Mountain Bike,WOMEN’S CROSS-COUNTRY,Bronze,Jenny Rissveds,Sweden,2024,Paris,Summer,SWE
Fencing,WOMEN’S FOIL INDIVIDUAL,Bronze,Eleanor Harvey,Canada,2024,Paris,Summer,CAN
Shooting,MEN’S 10M AIR PISTOL,Bronze,Paolo Monna,Italy,2024,Paris,Summer,ITA
Swimming,MEN’S 400M INDIVIDUAL MEDLEY,Bronze,Carson Foster,United States,2024,Paris,Summer,USA
Swimming,WOMEN’S 100M BUTTERFLY,Bronze,Zhang Yufei,China,2024,Paris,Summer,CHN
Shooting,WOMEN’S 10M AIR PISTOL,Bronze,Manu Bhaker,India,2024,Paris,Summer,IND
Skateboarding,WOMEN’S STREET,Bronze,Rayssa Leal,Brazil,2024,Paris,Summer,BRA
Cycling,MEN’S INDIVIDUAL TIME TRIAL,Bronze,Wout van Aert,Belgium,2024,Paris,Summer,BEL
Cycling,WOMEN’S INDIVIDUAL TIME TRIAL,Bronze,Chloe Dygert,United States,2024,Paris,Summer,USA
Diving,WOMEN’S SYNCHRONIZED 3M SPRINGBOARD,Bronze,Yasmin Harper and Scarlett Mew Jensen,Great Britain,2024,Paris,Summer,GBR
Fencing,WOMEN’S EPEE INDIVIDUAL,Bronze,Eszter Muhari,Hungary,2024,Paris,Summer,HUN
Fencing,MEN’S SABER INDIVIDUAL,Bronze,Luigi Samele,Italy,2024,Paris,Summer,ITA
Judo,WOMEN 48KG,Bronze,Shirine Boukli,France,2024,Paris,Summer,FRA
Rugby Sevens,MEN’S,Bronze,South Africa,South Africa,2024,Paris,Summer,RSA
Shooting,10M AIR RIFLE MIXED TEAM,Bronze,Alexandra Le and Islam Satpayev,Kazakhstan,2024,Paris,Summer,KAZ
Swimming,MEN’S 400M FREESTYLE,Bronze,Kim Woo-min,South Korea,2024,Paris,Summer,KOR
Swimming,MEN’S 4X100M FREESTYLE RELAY,Bronze,Italy,Italy,2024,Paris,Summer,ITA
Swimming,WOMEN’S 400M FREESTYLE,Bronze,Katie Ledecky,United States,2024,Paris,Summer,USA
Swimming,WOMEN’S 4X100M FREESTYLE RELAY,Bronze,China,China,2024,Paris,Summer,CHN
Boxing,MEN’S 57KG,Bronze,Charlie Senior,Australia,2024,Paris,Summer,ANZ
Boxing,MEN’S 57KG,Bronze,Javier Ibanez Diaz,Bulgaria,2024,Paris,Summer,BUL
Boxing,WOMEN’S 57KG,Bronze,Nesthy Petecio,Philippines,2024,Paris,Summer,PHI
Boxing,WOMEN’S 57KG,Bronze,Esra Yildiz Kahraman,Turkey,2024,Paris,Summer,TUR
Boxing,MEN’S +92KG,Bronze,Djamili-Dini Aboudou Moindze,France,2024,Paris,Summer,FRA
Boxing,MEN’S +92KG,Bronze,Nelvie Raman Tiafack,Germany,2024,Paris,Summer,FRG
Boxing,WOMEN’S 75KG,Bronze,Caitlin Parker,Australia,2024,Paris,Summer,ANZ
Boxing,WOMEN’S 75KG,Bronze,Cindy Ngamba,Refugee Olympic Team,2024,Paris,Summer,
Taekwondo,MEN’S +80KG,Bronze,Cheick Sallah Cisse,Ivory Coast,2024,Paris,Summer,CIV
Taekwondo,MEN’S +80KG,Bronze,Rafael Alba,Cuba,2024,Paris,Summer,CUB
Taekwondo,WOMEN’S +67KG,Bronze,Lee Dabin,South Korea,2024,Paris,Summer,KOR
Taekwondo,WOMEN’S +67KG,Bronze,Nafia Kus Aydin,Turkey,2024,Paris,Summer,TUR
Wrestling,MEN’S FREESTYLE 74KG,Bronze,Chermen Valiev,Albania,2024,Paris,Summer,ALB
Wrestling,MEN’S FREESTYLE 74KG,Bronze,Kyle Dake,United States,2024,Paris,Summer,USA
Wrestling,WOMEN’S FREESTYLE 62KG,Bronze,Aisuluu Tynybekova,Kyrgyzstan,2024,Paris,Summer,KGZ
Wrestling,WOMEN’S FREESTYLE 62KG,Bronze,Grace Bullen,Norway,2024,Paris,Summer,NOR
Wrestling,MEN’S FREESTYLE 125KG,Bronze,Giorgi Meshvildishvili,Azerbaijan,2024,Paris,Summer,AZE
Wrestling,MEN’S FREESTYLE 125KG,Bronze,Taha Akgul,Turkey,2024,Paris,Summer,TUR
Boxing,MEN’S 71KG,Bronze,Lewis Richardson,Great Britain,2024,Paris,Summer,GBR
Boxing,MEN’S 71KG,Bronze,Omari Jones,United States,2024,Paris,Summer,USA
Boxing,MEN’S 92 KG,Bronze,Enmanuel Reyes Pla,Spain,2024,Paris,Summer,ESP
Boxing,MEN’S 92 KG,Bronze,Davlat Boltaev,Tajikistan,2024,Paris,Summer,TJK
Boxing,WOMEN’S 50KG,Bronze,Nazym Kyzaibay,Kazakhstan,2024,Paris,Summer,KAZ
Boxing,WOMEN’S 50KG,Bronze,Aira Villegas,Philippines,2024,Paris,Summer,PHI
Boxing,WOMEN’S 66KG,Bronze,Janjaem Suwannapheng,Thailand,2024,Paris,Summer,THA
Boxing,WOMEN’S 66KG,Bronze,Chen Nien Chin,Taiwan,2024,Paris,Summer,TPE
Taekwondo,WOMEN’S -67KG,Bronze,Kristina Teachout,United States,2024,Paris,Summer,USA
Taekwondo,WOMEN’S -67KG,Bronze,Sarah Chaari,Belgium,2024,Paris,Summer,BEL
Taekwondo,MEN’S -80KG,Bronze,Edi Hrnic,Denmark,2024,Paris,Summer,DEN
Taekwondo,MEN’S -80KG,Bronze,Simone Alessio,Italy,2024,Paris,Summer,ITA
Wrestling,MEN’S FREESTYLE 57KG,Bronze,Aman Aman,India,2024,Paris,Summer,IND
Wrestling,MEN’S FREESTYLE 57KG,Bronze,Gulomjon Abdullaev,Uzbekistan,2024,Paris,Summer,UZB
Wrestling,MEN’S FREESTYLE 86KG,Bronze,Aaron Brooks,United States,2024,Paris,Summer,USA
Wrestling,MEN’S FREESTYLE 86KG,Bronze,Dauren Kurugliev,Greece,2024,Paris,Summer,CRT
Judo,MEN’S +100KG,Bronze,Temur Rakhimov,Tajikistan,2024,Paris,Summer,TJK
Judo,MEN’S +100KG,Bronze,Alisher Yusupov,Uzbekistan,2024,Paris,Summer,UZB
Judo,WOMEN’S +78KG,Bronze,Romane Dicko,France,2024,Paris,Summer,FRA
Judo,WOMEN’S +78KG,Bronze,Kim Ha-yun,South Korea,2024,Paris,Summer,KOR
Judo,MEN’S -100KG,Bronze,Peter Paltchik,Israel,2024,Paris,Summer,ISR
Judo,MEN’S -100KG,Bronze,Muzaffarbek Turoboyev,Uzbekistan,2024,Paris,Summer,UZB
Judo,WOMEN’S -78KG,Bronze,Ma Zhenzhao,China,2024,Paris,Summer,CHN
Judo,WOMEN’S -78KG,Bronze,Patricia Sampaio,Portugal,2024,Paris,Summer,POR
Judo,WOMEN’S 63KG,Bronze,Clarisse Agbegnenou,France,2024,Paris,Summer,FRA
Judo,WOMEN’S 63KG,Bronze,Laura Fazliu,Kosovo,2024,Paris,Summer,KOS
Judo,MEN’S 81KG,Bronze,Lee Joon-hwan,South Korea,2024,Paris,Summer,KOR
Judo,MEN’S 81KG,Bronze,Somon Makhmadbekov,Tajikistan,2024,Paris,Summer,TJK
Judo,WOMEN’S SABER INDIVIDUAL,Bronze,Sarah Leonie Cysique,France,2024,Paris,Summer,FRA
Judo,WOMEN’S SABER INDIVIDUAL,Bronze,Haruka Funakubo,Japan,2024,Paris,Summer,JPN
Judo,MEN’S 73KG,Bronze,Soichi Hashimoto,Japan,2024,Paris,Summer,JPN
Judo,MEN’S 73KG,Bronze,Adil Osmanov,Moldova,2024,Paris,Summer,MDA
Judo,WOMEN’S 52KG,Bronze,Larissa Pimenta,Brazil,2024,Paris,Summer,BRA
Judo,WOMEN’S 52KG,Bronze,Amandine Buchard,France,2024,Paris,Summer,FRA
Judo,MEN’S 66KG,Bronze,Gusman Kyrgyzbayev,Kazakhstan,2024,Paris,Summer,KAZ
Judo,MEN’S 66KG,Bronze,Denis Vieru,Moldova,2024,Paris,Summer,MDA
Judo,MEN 60KG,Bronze,Ryuju Nagayama,Japan,2024,Paris,Summer,JPN
Judo,MEN 60KG,Bronze,Francisco Garrigos,Spain,2024,Paris,Summer,ESP
Gymnastics,MEN’S HORIZONTAL BAR,Bronze,Zhang Boheng,China,2024,Paris,Summer,CHN
Gymnastics,MEN’S HORIZONTAL BAR,Bronze,Tang Chia-hung,Taiwan,2024,Paris,Summer,TPE
Track And Field,WOMEN’S HIGH JUMP,Bronze,Eleanor Patterson,Australia,2024,Paris,Summer,ANZ
Track And Field,WOMEN’S HIGH JUMP,Bronze,Iryna Gerashchenko,Ukraine,2024,Paris,Summer,UKR
Swimming,MEN’S 100M BREASTSTROKE,Gold,Nicolo Martinenghi,Italy,2024,Paris,Summer,ITA
Swimming,MEN’S 100M BREASTSTROKE,Silver,Nic Fink,United States,2024,Paris,Summer,USA
Swimming,MEN’S 100M BREASTSTROKE,Silver,Adam Peaty,Great Britain,2024,Paris,Summer,GBR
Canoe Sprint,WOMEN’S KAYAK DOUBLE 500M,Bronze,Noemi Pup and Sara Fojt,Hungary,2024,Paris,Summer,HUN
